address,value
0x8eb3e8e89cfae673460ae423bd6edf515b9de8f8,0.05
0x6293192944038e216de0d0cf06056e697682a2d5,0.05
0x126553b789bffa9d2aab7762511ca29418c89d9c,0.05
0x007423a71af436392e807cfdd38800868e32f9bb,0.05
0x32cf53e80641b3365dc52882b520d317d807342b,0.05
0x43d7193cf6b4718e856949cad4d1d0e093324f0e,0.05
0xcf952e2bfa80c995a1ff94985394dcbb27d71ba4,0.05
0x57d180bb8bfb5b021f96dd71eb499f70294ce4ae,0.05
0x5d7d892511191f2d7da0aa32aaccbac8b9d2c181,0.05
0x0a9c52dcce024dd72aafeb43c1c253b93ab6ee2c,0.05
0xd37b7b7ae0814ba69e81159e5315a2c4fc560307,0.05
0xf809042b0d5f46a69d8a646330f76b1ca356be0b,0.05
0x39847e7c4a5ddc7ef5766f1c0f13070332afe726,0.05
0xa7f08f485e6f4af2272328b6bf42cdf11e827f56,0.05
0xea388c0bf4cbea270473a0e4218bed7aa26ae4a7,0.01
0x138a581b2ca20a72b705d88c1cd722d34cb88e2b,0.05
0x2fca42bb308cbc7ab6067285080c38173b7e7152,0.05
0x03da6b5a21e3f3bf9c508ae7e97510887e1aeabb,0.05
0x6b5b5f2de5fb8ac403c2632a21b55efc4dcc1ed3,0.05
0x8610ff806682f712ee4648647c04e49a9c4d65cb,0.05
0x6eb7b2699cda6690d7ff955d1be2c553507f7cdf,0.05
0x19d6e66f3c967ef53b62cfdf198ce4d5372a5ce8,0.05
0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,0.05
0xccd239b1ca5fb55068e72368327bb6e143ea5ac7,0.05
0xf8a6c758b0478ddfacf5c95a1f507415ad51a831,0.05
0x32efdb659e7194367f2bc1db4abe9ad10c3448cc,0.05
0x05bd50f2a782602bae8a228ffaeabc4a56a896b9,0.05
0xee0d3a42ea15660fd4261036c1bf6ba33a0cf0f6,0.05
0xdb58db310b3512c4b2266831fce9bc654d0b18fd,0.05
0xc791bad11c80535e338bf97a99fbc42ec218a51a,0.05
0x672ecffaa0bfc08191a9b52329c7d8295c2c3d09,0.05
0x8b27cd7b03f285b32186d1f6b114e4333e4fb181,0.05
0x6b3cbcd407ae97d584b9669c5a56b8cc218dcd1b,0.05
0x33372a300fb17200055a680ca418575455498235,0.05
0x992ced559e04be7890f5f152236a2ccf6a9a2843,0.05
0xdd02742baec73ad2460054a01cc41ee2ae41ed2d,0.05
0x6e59ac9d1e08daf0ae635de9afe3ad1b272048de,0.05
0xaf673e793c365229c2f17f4e7f95ce6a95d07466,0.05
0x02f1def94e50063a32acda4be8188f1b3b7bdcc5,0.05
0x0272a76aadea13f0418a0e2d956bee9f07ecdcd6,0.05
0x0f9d76acdbc4417b026f876be1e2042e45f3bcd2,0.05
0xdea857e0896837a624b810e255f9b3848adc8efe,0.05
0xdead9a1ae5481e3eb4d22497511b6187544faded,0.05
0x6b6d15c1042ef292c1c258fa8d2b3d7e4161cdc4,0.05
0x9d677132e636bfce3275cc067d2cd3b11f16903a,0.05
0xb43e269be65518658e22b6118e67176fece91a7e,0.05
0x2081e188f138488e4ca7ebf5e19ef6f9d1d3d717,0.05
0xd508f8d40f4e23fccefbacf6a8365282420efb82,0.05
0xbb668495e3b7803a358884c8f1cb6404e819bb64,0.05
0x492267078361a00c342b56517aea043f5a8e4466,0.05
0xd35f45193f69073c19c68f6584cd8d1064cf3533,0.05
0xa3ddf7e2907c5a94fa337218d29c539f6d1b6edb,0.05
0x385915c3c38c880eb2fe9f628e24b519f4968738,0.05
0xc0fac8f7779f2b9db9b4b5574ca3c716970823a2,0.05
0xa1e25b837b22b5034fae1c4d90431f6e7fc61a17,0.05
0x2576676a94854e4a1f4136d1d948c76daf9c2f93,0.05
0x9eb4fe33c47319fa146d4bb76e6d600ac83e1c9e,0.05
0x2314b041aed2bcb3054fdaa5abf5460bbc1ab876,0.05
0x88febd0a4ab094ef59954cb229235316a2d15952,0.05
0x68182338027f35d3b2dee6ba4b0d9d833719e578,0.05
0x7fcc26970c765b6af6966af6d81f541dfe2e195f,0.05
0x1d17541e010761e0687a51bc27a6c0a8e7f9d4af,0.05
0x526337c34ff95c1706f8be9821f37fadb9db2ceb,0.05
0x470f8da3d708e23c3402056e611e66a9d046dd7c,0.05
0x0115cd06b91731ea3aac11d9073b2d89e3c3b082,0.05
0x730aba725664974efb753ee72ca789541c733db4,0.05
0x83a26b7bd07d5bb58b038887f8ac8557736f65ec,0.05
0xa040c6fc91dabca0f5ec1d32fe7241a94e43ea7d,0.05
0x06cbe8063205b60c4ac8b73d70e5870ac63c8aa4,0.05
0x12bee7a5c2b1dfd1baced332ebebdd1b3fe68e91,0.05
0x58e12b6a68530d8eaf1925f30b9386ef7176feb0,0.05
0x5aba902c17afd30c7abbc65d71bd5714a2671155,0.05
0x5b93972361d074e4ba897292afac60dc671ab6ae,0.05
0x7ca462fef213b221832a0e9c0d0406a2b49c95bc,0.05
0x4038a44b34dc6974b2d609715c00da7df845c4f9,0.05
0x89db7449a656a3f3075f6d4542a6c221fae15316,0.05
0x5c0200218ffce954145c57d3a09738a922d22337,0.05
0x7da85687dbb8966237dc9f4c774d62d8d21947b1,0.05
0xaa9c52276069b58227697805f24707e175313351,0.05
0x9155927619c94bf4a1d931e487dee74c92017930,0.05
0xe9ed3ad8e68b3925a33cab867a29c73e8357cfc4,0.05
0xf9e7c73c5ce617baff2c7694fe625a326611c27c,0.05
0x07427c476501e03b1802541625cefd1df24484d2,0.05
0x449c51e9b517aa6c12fe6d44f136b64aac32fbaf,0.05
0xdbe84e2326cc0ea420dd3aff8713fb1e465776df,0.05
0x4f27ee7ad5ef8d881f62511a36a245e99eaed800,0.05
0x4e322ad2809c5cd20dc29c1eb0e972d67a9eb3e7,0.05
0xd301b5fb85a66fc84b2931b26b46cf16a7dbd751,0.05
0x9e35c408fd3cd4981d95cc3fa49ef7acb213e9fb,0.05
0x299fee10cd3f03ebb2f9eb5d59bfeb6c502dfeeb,0.05
0xb1e079854268985431935ce53aa54c8e1722fa0d,0.05
0x08db6002f22dfcbf5f4e09038a451c26dccc9ac0,0.05
0xaecfe4eff84a1cd9a24accc1914ac537af7f6e1b,0.05
0x4b4763fec9099ed66403cf353898d46145b136cd,0.05
0xee0e12d6150813f49beb4a5359c9f70ab0b88815,0.05
0xbda1741c86954e6022701881965a9047caf2c6a4,0.05
0x0ab14149a86332f5e7b5f0b3b2b7847ee7ff7b0b,0.05
0xe1e1f32f5d86e4bcf91c375e09d02225a76c8d21,0.05
0xad615f88d4483b80dd415a0cf533c027d6ecde01,0.05
0x1a9175bc9a928187bbd21e711987576bd04bfe61,0.05
0xd9e449d54914984db1b3fa4022cba4fac9fe95b8,0.05
0x2450e4344deabc72cebe4532b0800c33c3f7500a,0.05
0xacae6a30a2550787c63c1ab96dbb174411c329ce,0.05
0x93e90eb4f36d3bfb760e07977d9d1ca9e4574139,0.05
0x33743a9d8d54eeabcdaed6e8e4be62d38230e564,0.05
0x4ada23a97451e0b43444abe15a2ea50a3e6110f9,0.05
0xbb09152ccf12a44e9f9478ca4713ee29d6888888,0.05
0x1b099a0f9f49078b7fe52a139fbe43c8e5f6efb8,0.05
0x1038384f5bc3a3f16acffc439edbafb0eeaee232,0.05
0x70a16f2a51dd6a32b42c41afbe15772d652abaff,0.05
0x800d304399ddfbb0a8ef7acc3197dc99f35d8ae6,0.05
0x011f4c1045214949328f669d5432171ee1cfdd5c,0.05
0x187fbe05b796bf18a740ef3e7d1d8abaa0082e4a,0.05
0x7ceab2270ac57cb547fb58d054a5f8146cb3ef52,0.05
0xcfe9c3afa9492b4404eb0a9b237f2c07315f2556,0.05
0x4a671356dddf2e12bcba704bee80b956d7e0da8d,0.05
0x05b668e202ba99e09b605560e3606b63812ca6a6,0.05
0x1bcbbad6f2aa0c3420309672d3b08f85aef2683b,0.05
0x78f66d1f6f40807a88daa0ba2892ef3a7d28c927,0.05
0x327c86581e15d6a72207e655216938ef10c78999,0.05
0x35948609753e169b0dccc6412f537c8ee7ecea73,0.05
0x55ac335bf3e9032bb69090f1d704e5346770cce9,0.05
0x0528f7f19eb407b41d2369c1e88d437fcfd13e6f,0.05
0xa086c3bbf195aa18bee2805d568072b8af58fbd6,0.05
0x70536936907f5c21c5467fea77ff95a20945a61d,0.01
0xb051e29500066d77e3715a95a583fabf016efb31,0.005
0x7aaacf5381a2a0e029f0526b85e07924eb09fa37,0.05
0x8f70b3ac45a6896532fb90b992d5b7827ba88d3c,0.05
0x6b1b45c925b29ea9d5bdde5490d7016edd288700,0.05
0x624d3d9069b46603eeda137aac49441d6a7d9110,0.01
0x9a1dc1bdd3a92422dd93c4a568b34c27b3644444,0.05
0x6c7ffd767a2d179ee1a9e89e49ecb2f8f771e837,0.05
0xafef0d037d0ea9542ac29752a4860c7f472b919e,0.05
0xc0454a26dcb6fcf8b612e070a47ec078139de591,0.05
0x4b59fdf70b9d8281dff5a04dc37a71a94463d4bf,0.05
0x8b833437f92474613c10311cd993bc6e82c5ffe6,0.05
0x05234ed1cab8f3173fa48df4ef4fae7390286661,0.05
0xce7b29586c5371e315d9080b4508fc93c512bab0,0.05
0x0eaeb1cf458e2aa1781a9566fac56180c54a5eda,0.05
0x1f7e787a20b84ac6d20a319e4eff57e6d290c5eb,0.05
0xf4003bec8088f1a187c7a889971685e7460a27c7,0.05
0x8876902ef3e0626d5e9521d52930ca586ad325ce,0.05
0x55701a8a8f3bb87db53b38a9e27df23e85d024ab,0.05
0xb32238e06e480ddae5b4a57a9288e839461b2435,0.05
0x000000002d4db35b28c690a28a7b4d58f1e2c738,0.05
0xd28cd87918545d173f15886a77008032d5ce6aaa,0.05
0xbbf6059c31c377c6ec37cbef6487d9cc0d2a8307,0.01
0x296274082f06406d66ec2f155b5ffbe998ca9410,0.05
0x75bc0cc04b443ca707a6426d2b960a059441a5c1,0.05
0xb5b0f3dd0ac67d97ad7bb14de9b3c411d7091857,0.05
0x08f60397db11bad8b225f36aac866a13f19e0457,0.05
0xb376137b79af638c2bf26beee2c4cd6184966b8b,0.05
0x5feacb48000f0dbfa523a4eb8fb8c3ea295034a7,0.05
0x037b41bbc7ff4120c18db161d62c39522e8ae0a5,0.05
0x7523e9757a5531d5eb629f6cea85ae94ee98b839,0.05
0xb63c26620481b5ee5bb15a33cb0390877ff83dde,0.05
0x9f394f68da843c5f388cb8e9ab262c224346eec3,0.05
0x87ad66b64843467115e425df088c438f6aedb24e,0.05
0x8b0c3eef1443315ee63e955d4167ade9a52e75fb,0.05
0x520499977253f8688344ae29afa6d3f153c4072d,0.05
0xab7ea013c46e14098474850b019f33b458bbf8b9,0.05
0x5d528d717b44642f09fdcb1dd96bd427de408715,0.05
0x38237d83555b6e46d0bcd2f56c7af8cbedcecd13,0.05
0x42125be48e9837fe5e0b68c0bc0152e5a8a8c50c,0.05
0xf448ba3ab40df0d3c324051ec889bbdf8aebd79f,0.05
0x60dd57724d56918fe0814b4293e85d825517a997,0.05
0x61590c830e7a4ade6d27e39f3d872bdf5a37c9ac,0.05
0xb91d7226c999629241ad1f3322875144ebba9d63,0.05
0x8c7c1f1f26050aaaed5992b41291f34f7b731679,0.05
0x1dd488fbba94c408b3a6a6200daeb72bce4a943a,0.05
0x42b21a5285424b0547f4e2c61d937ea1b19f0c5b,0.05
0x43227629cdba0b8cedfc307dec96eb4ae050ad14,0.05
0x03c1136a900fd4f0511ce1008e97dc2ee00de856,0.05
0x5c0244174cd2b2b2c4dbbbf69b94b323e59670b4,0.05
0x6e9a4c0c11e4da2ffa060e069fe0f5a6decd25f0,0.05
0x5ccca9a23a7622704b696529ba22922756501a37,0.05
0xa50f399e2570ae41e17488fbd8e2368b604eed9c,0.05
0xd8b4cb6ae2cc72217831104d400134ce0ce05352,0.00312230701
0xfb2285df9dfbb69188ee8fab3ebf23422a3910a6,0.05
0x2f2b9a0c53fd4d21499de7f6c8eb536ba0ee6a63,0.05
